,text,polarity,sentiment
44,fda authorizes pfizerbiontech coronavirus vaccine emergency use,0.0,Neutral
45,covidvaccine poisons enough left side effects like bellspalsy flocking,0.0,Neutral
46,realdonaldtrump dairy dose dumbsville donthecon grifterinchief trumpforprison trumpcrimefamily covid,0.0,Neutral
47,us fda approved two coronavirus vaccines pfizerbiontech amp moderna 200 vaccines develo,0.0,Neutral
48,ema_news gets set approve pfizerbiontech vaccine rollout preparations pick pace across eu meanwhile,0.0,Neutral
49,covid19 news updates public questioned whether actually received shot video footage appeared show,0.0,Neutral
50,tragedy another life taken corporate greed evil pharmaceutical companies vaccination vaccine,-0.5,Negative
51,ive never excited get vaccine covidvaccine pfizerbiontech vaccinessavelives vaccineswork,-0.1875,Negative
52,building last weeks trial run extending vaccination programme week much effort going b,0.1,Positive
53,first covid19 vaccine doses arrived oregon watch morningsonthedove 6am 9am tomorrow det,0.25,Positive
54,iran told world health organization intend import pfizerbiontech covid19 vaccine bec,0.0,Neutral
55,concerned side effects pfizerbiontech covid19 vaccine check recap,0.0,Neutral
56,great feeling big thank healthcare professionals scientists nurses doctors caregivers,0.4,Positive
57,members teamsters delivered first covid19vaccine morning teamsters ups covid19 pfizer,0.25,Positive
58,getting first dose pfizerbiontech covidvaccine next weekend seeing unboxing made r,0.125,Positive
59,taking covid19 vaccine available covid19 pfizer biontech vaccine pfizerbiontech,0.4,Positive
60,farandwide erinotoole michellerempel rempeltrudeau exchange seen believed saw,0.0,Neutral
61,pfizerbiontech new york state administered first nontrial vaccine morning health care worker p,0.19318181818181818,Positive
62,cpho_canada pfizerbiontech female sterilization pfizer untested liabilities crimesagainsthumanity,0.0,Neutral
63,cpho_canada key crushcovid milestone achieved shutting amp coverup pfizerbiontech untested l,0.0,Neutral
64,inbox govparsonmo says shipments pfizerbiontech vaccine continue ship missouris 21 vaccinat,0.0,Neutral
65,nygovcuomo cmargaronis pfizer ups pfizerbiontech germany based lets hope small numbers,-0.25,Negative
66,icu nurse sandra lindsay said proud becoming one first americans receive pfizer,0.5,Positive
67,farandwide erinotoole michellerempel screenshot 2 qp exchange unfortunately hansard c,-0.5,Negative
68,meghanmccain physician currently covid cried vaccinessavelives pfizerbiontech,0.0,Neutral
69,dwain_campbell unfortunately hansard capture aggro fingerpointing deskthumping werea,-0.5,Negative
70,cdnadvocacy hallo unroll asked cdnadvocacy 1 uk nhs mhra updated covidvaccine clinical guidel,0.0,Neutral
71,fordnation odd verb choice doug hand observe welcome anita anand put,0.3166666666666667,Positive
72,first ontarian vaccinated minutes later psw anita quidangen toronto pfizerbiontech,0.125,Positive
73,pattyhajdu would take vaccine listen expert pfizerbiontech untested,0.0,Neutral
74,weekend faa issued guidance pilots following use new pfizerbiontech vaccine,0.06818181818181818,Positive
75,ugursahin ozlemtureci muslim scientists husbandwife saving world pfizerbiontech,0.0,Neutral
76,surprised learn autoimmune conditions otherwise immunosuppressed advised receive,0.1,Positive
77,farandwide erinotoole erin otooles handpicked health critic michellerempel going even,0.0,Neutral
78,warpspeed money go covid pioneers pfizerbiontech moderna asking friend griftertrump klan,0.0,Neutral
79,pfizerbiontech vaccine works article made detailed explanation covid19,0.4,Positive
80,skynews new type vaccine man daft hurts ears listening biggest question,0.13636363636363635,Positive
81,thejagmeetsingh actually read global news article jagmeet tweet embedded therein j,0.0,Neutral
82,first us covid19 vaccinations today thank everyone stepping getting covidvaccine,0.25,Positive
83,anitaquidangen personal support worker toronto became one first people canada receive,0.125,Positive
84,state supposed get 35100 doses total pfizerbiontech vaccine week remained 30225,0.0,Neutral
85,orangecounty get 25k doses pfizerbiontech vaccine wednesday dec 15 ochealth confirms,0.0,Neutral
86,breaking ohaoregon covid19 vaccine legacy health first registered covid19 vaccine,0.25,Positive
87,asifintoronto ctvqp ruhroh anita also sawheard michelle rempel suggest qp house,0.0,Neutral
88,kfdmsfox 4s thepaigereport1 baptist hospital getting first hand look pfizer covid19 vacci,0.25,Positive
89,canadian pm justin trudeau announced arrival first vaccine vials country biontech pfizerbiontech,0.25,Positive
90,privileged offered pfizerbiontech vaccine would encourage everyone take itll help protect peo,0.0,Neutral
91,one first vaccines receivers us momentous science hope arrived covid19 covidvaccine,0.25,Positive
92,half way covid19 covidvaccine vaccination pfizervaccine pfizerbiontech,-0.16666666666666666,Negative
93,cant wait take kids towards herd immunity vaccines pfizerbiontech,0.0,Neutral
94,toronto receive ontarios 1st doses pfizer covid19 vaccine today ontario,0.0,Neutral
95,good news first doses pfizerbiontech vaccine arrived california last night gov gav,0.31666666666666665,Positive
96,pandemic pcrgate condemic billgatesisnotadoctor pfizerbiontech moderna astrazeneca,0.0,Neutral
97,make vaccine companies liable pfizerbiontech pfizer johnsonandtoxin vaccinesarepoison,-0.1,Negative
98,fda authorizes emergency use pfizer vaccine pfe pfizer pfizervaccine,0.0,Neutral
99,katejulien theresalubowitz supervising im torn politicians going firstish show important,0.4,Positive
100,pfizerbiontech wondering every pfizer employee way boardroom vaccinated yet,0.0,Neutral
101,last night first covid19vaccines arrived canada speak first vaccines admin,0.16666666666666666,Positive
102,happy cold chain day way get vaccine distributed across county coldchain pfizerbiontech industrial cre,0.10000000000000003,Positive
103,received first dose covidvaccine pfizerbiontech today feel privileged amp lucky p,0.29166666666666663,Positive
104,several countries including us uk approving use pfizerbiontechs covid19vaccine,0.0,Neutral
105,hospital work received vaccine iv room made first five doses given state,0.25,Positive
106,last night anitaoakville welcomed first 30k doses pfizerbiontech vaccine although l,0.125,Positive
107,historical moment firstdose pfizerbiontech covid_19 vaccine administered upmc upmchealthbeat pitt,0.0,Neutral
108,breakingnews nurse new york city monday became first person united states receive corona,0.19318181818181818,Positive
109,update nurse new york city monday became first person united states receive coronavirus,0.19318181818181818,Positive
110,new methodistdallas received first shipment pfizerbiontechs covid19 vaccine front line healthcare,0.19318181818181818,Positive
111,kind surreal vaccine dropping today pfizerbiontech,0.425,Positive
112,coronavirus vaccine ships today expect hospitals overwhelmed nine months baby deliveries,0.0,Neutral
113,per cdc persons hiv immunocompromising conditions may still receive covid19 vaccine unless,0.0,Neutral
114,realdonaldtrump im graveling feet someone killed 290k usa appreciate scientist,-0.2,Negative
115,science everywhere results entire world approve vaccine one country,0.0,Neutral
116,president trump says first pfizerbiontech covid19 vaccine united states administered,0.25,Positive
117,1st doses pfizerbiontechs covid19 vaccine arrive canada helloryanjones,0.0,Neutral
118,ups fedex transport initial pfizerbiontech covid19vaccine doses ups fdx,0.0,Neutral
119,new vaccination campaign begins today quebec residents maimonides among first seniors,0.19318181818181818,Positive
120,kudos ups ups announced 13th involvement amp full support distribution efforts pfizerbiontechs,0.175,Positive
121,tuna fish covid19 vaccine container freezers used ship seafood given new role,0.13636363636363635,Positive
122,end sight many coworkers getting first doses pfizerbiontech covidvaccine,0.375,Positive
123,pfizer received emergency use authorization food drug administration covid19 vaccine develope,0.0,Neutral
124,thank thank thank scientists worked development vaccine covid19,0.0,Neutral
125,well done usa pfizerbiontech pfizervaccine covid19,0.0,Neutral
126,sunday evenings shipment first initial 30000 doses pfizer vaccine spread across 14 dist,0.125,Positive
127,watch shipments initial doses covid19 vaccines arrived selected ports entry canada sunday,0.0,Neutral
128,singapore approves pfizer covid19 vaccine first shipment expected end december says pm lee hsien loong,0.075,Positive
129,lipids used lipid nanoparticle used mrna biontechpfizer pfizerbiontech covidvaccine,0.0,Neutral
130,canada begin pfizerbiontech covid19vaccine rollout,0.0,Neutral
131,approvals pfizerbiontech vaccine singapore approves pfizer covidvaccine expects first shots decemb,0.25,Positive
132,first pfizer coronavirus vaccine doses set arrive hospitals pfizerbiontech,0.25,Positive
133,vaccinated 11 million new cases confirmed past week death toll 30600,0.09545454545454546,Positive
134,us health care workers amp vulnerable receive pfizerbiontech shots trucks sunday began shipping milli,-0.5,Negative
135,sammwittings oh great thought wouldnt able see xmas btw heard radio shropsh,0.65,Positive
136,pfizerbiontechs covid19 vaccines making way distributions sites nationwide fedex says,0.0,Neutral
137,us set start covid19 vaccination drive doses pfizerbiontech vaccine ready,0.2,Positive
138,singapore became monday first asian country approve pfizerbiontechs coronavirusvaccine said ex,0.125,Positive
139,singapore approves pfizer vaccine becomes first south east asian country approve vaccine doses gi,0.125,Positive
140,pfizerbiontech covid19 vaccine distributed electoralcollege formally casts votes today detroitlions los,0.0,Neutral
141,billgates caught video admitting covidvaccine change dna forever via,0.0,Neutral
142,singapore approves pfizerbiontech virusvaccine pandemic,0.0,Neutral
143,excited tomorrow honoured part exciting team administering primary care covid_19,0.3583333333333334,Positive
144,ludovicotodini taxistalobbyst caught video admitting covidvaccine change dna forever,0.0,Neutral
145,get vaccine yet via youtube vaccine maskup pfizer pfizervaccine pfizerbiontech,0.0,Neutral
146,canada begin pfizerbiontech covid19vaccine rollout pandemic,0.0,Neutral
147,singapore approves pfizerbiontech covid19 vaccine first shipment expected enddecember coronavirus,0.075,Positive
148,gopchairwoman gop realdonaldtrump pfizerbiontech thank drsahin amp team,0.0,Neutral
149,us expects immunized 100 million covid19 end march slaoui,0.0,Neutral
150,singapores plan tackle covid19 really effective early pandemicmore 1 bn set aside fo,0.35,Positive
151,singapore approves pfizer biontech_group vaccine local use vaccine safe use people aged 16,0.13333333333333333,Positive
152,phase 3 begins dec 28 pfizerbiontech vaccine first arrive singapore end dec shots free,0.325,Positive
153,realdonaldtrump world thank pfizerbiontech drsahin amp team,0.0,Neutral
154,vaccine mean im gon na eventually wear proper bra agreement un,-0.15625,Negative
155,us began shipments covid19 pfizerbiontech vaccine sunday following final cdc approval pandemic far,0.03333333333333333,Positive
156,true question scientists many vaccines pfizerbiontech vaccine needs given 2 shots,0.425,Positive
157,first million pfizerbiontech vaccines arrived us lastminute emergencyauthorization,0.25,Positive
158,donaldtrump mikepence offered recently authorized pfizerbiontech vaccine,0.0,Neutral
159,pfizervaccine unlikely available india mass distribution read find pfizerbiontech,-0.04999999999999999,Negative
160,us set begin coronavirus vaccination drive today doses pfizerbiontechs vaccine set,0.0,Neutral
161,politico december 13 2020 fdas hahn covid19 vaccine authorization based science data,0.0,Neutral
163,im due get vaccine tuesday super thrilled pfizer pfizerbiontech coronavirusvaccine,0.26944444444444443,Positive
164,usa start vaccination today according latest figures maximum coronavirus cases 167 mil,0.5,Positive
165,covid pfizerbiontech vaccine pennsylvania nursing homes pennsylvania prepare covid19 vaccine distribut,0.0,Neutral
166,vaccines save lives hopefully hcw assuage public fear anxiety regarding vaccine finally,0.0,Neutral
167,1st doses pfizerbiontechs covid19 vaccine arrive canada,0.0,Neutral
168,politicians essentialworkers covid19 pfizerbiontech covidvaccine vaccineswork sciencematters,0.0,Neutral
169,first batch doses pfizerbiontechs covid19 vaccine arrived canada pm trudeau said twitter,0.25,Positive
171,good news pfizerbiontech vaccines arrived vaccines like moderna astrazeneca also coming,0.7,Positive
172,money mr mark twain getting one first doses pfizerbiontech vaccination united states calnbc,0.25,Positive
173,apt29 aka cozybear hacker group suspected hacking pfizerbiontech ip federal agencies like us treas,0.0,Neutral
174,pfizerbiontechs covid19 vaccine also urgently needed africa ghana nigeria egypt southafrica amp rest,0.0,Neutral
175,comes covid_19 pfizerbiontech,0.0,Neutral
176,realdonaldtrump might well call 100 years ahead liarinchief nothing pfizercovidvaccine pfizerbiontech,0.0,Neutral
177,pash22 cdcgov caseymross interesting approach guidance v clear person history anaph,0.3,Positive
178,pfizerbiontech covid19 vaccine donald trump mike pence amp top us officials offered early access newly,0.24545454545454545,Positive
179,pfizerbiontech vaccine hacked days ago ustreasury hack announced today whol,0.0,Neutral
180,safe thank fedex vaccine fedex pfizerbiontech pfizer,0.5,Positive
181,rainartchik nowhere near 2030 premature innoculation pfizerbiontech cdnpoli,0.1,Positive
182,harharmahadev first batch doses pfizer biontech vaccines canada yay many congratulations,0.375,Positive
183,welcoming 1st covid19vaccines tonight 1st 30k doses pfizerbiontech arriving across cou,0.0,Neutral
184,information pfizer vaccine severe allergies covidvaccine pfizervaccine pfizerbiontech,0.0,Neutral
185,welp thanks already arent going quite planned pfizerbiontech covidvaccine distribution,0.2,Positive
186,mt murray_nyc five years ahead schedule pandemic predetermined schedule ackno,0.0,Neutral
187,excellent news great president trump administration pushed get vaccine ready qui,0.6666666666666666,Positive
188,good heavens stupid reason even slow day get dummy pademics slither away alr,-0.13333333333333333,Negative
189,say wont take pfizers vaccine covid19 read report,0.0,Neutral
190,covid_19 covidvaccine pfizerbiontech,0.0,Neutral
191,process definitely thought everything publicity wise pfizervaccine pfizerbiontech,0.35,Positive
192,turkeys coronavirus death toll reaches 16417 drfahrettinkoca coronaviruspandemic turkey pfizerbiontech,0.0,Neutral
193,case anyone interested link pfizerbiontech covid19vaccine patient information,0.25,Positive
194,tameemmurtuza yes link patient education information pfizerbiontech given,0.0,Neutral
195,unitedstatesthe first covid19 vaccines going cdc officially allows pfizerbiontechcoronavirus,0.25,Positive
196,infections worldwide unitedstates 220575 brazil 43279 turkey 30805 coronavirus corona covid_19,0.0,Neutral
197,pfizerbiontech covidvaccine given green light us,0.1,Positive
198,kind america leave behind trump donaldtrump joebiden newyork washington whitehouse,0.09999999999999998,Positive
199,chesleydohl audie_murphy45 cspan trump claiming pfizerbiontech vaccine one administrati,0.0,Neutral
200,go grateful among first group vaccinated healthcare workers tampafl covid19,0.25,Positive
201,cdc acip released interim guidance use pfizerbiontech covid vaccine,0.0,Neutral
202,dr kathy lofy says vaccine new tool tool box says shell also get vaccinated soon,0.13636363636363635,Positive
203,advisory committee immunization practices interim recommendation use pfizerbiontech covid19 vaccin,0.0,Neutral
205,acip recommended use pfizerbiontech covid19 vaccine persons 16 years age older,0.16666666666666666,Positive
206,cdcdirector redfield signed recommendation cdc panel recommends pfizers covid19 vaccine,0.0,Neutral
207,boxes containing first shipment pfizerbiontech covid19 vaccine prepared sent pfizer,0.25,Positive
208,great day country amp world realdonaldtrump one day closer leaving hitehouse first,0.525,Positive
209,answers questions covid vaccination vaccine covid_19 healthcare health,0.0,Neutral
210,watched capehartj new thesundayshow maria_hinojosa correctly stated two deaths among,0.13636363636363635,Positive
211,pfizerbiontech pfizercovidvaccine vaccinerollout 38 days,0.0,Neutral
212,agree uk us vaccinate technology pioneered 2 german one usbiotechs us celebrates distribution,0.0,Neutral
213,realdonaldtrump varneyco pfizer funded operation warp speed would never supported mus,0.0,Neutral
214,covid19 vaccination bit helping save human race mega sore arm today expected small pr,-0.11666666666666665,Negative
215,jeremysale nytimes apparently trucks escorted us marshals stay safe hijacking,0.275,Positive
216,airborne heading memphis pfizerbiontech covidvaccine fedex a306 n669fe,0.0,Neutral
217,newly approved vaccine ccpvirus start distributed us states dec 14 according,0.13636363636363635,Positive
218,yvettedoc50 teamgp nhsengland nikkikf pulsetoday think going seeing lot happening l,0.0,Neutral
219,tedcruz know trumpkins like informed goes 1 pfizerbiontech vaccine developed,0.1,Positive
220,canadian firm acuitas heart pfizerbiontech vaccine great story ubcprez ubc helped early wi,0.23333333333333336,Positive
221,dday beginning end thats today said cautioning would still take months,0.0,Neutral
222,first trucks loaded pfizers coronavirus shot pulled michigan warehouse early sunday starting,0.11666666666666665,Positive
223,joebiden kamalaharris thanks bringing fresh air positivity gods hand pushing us forw,0.25,Positive
224,pfizer pfizercovidvaccine vaccine vaccination biontech pfizerbiontech moderna toxic mrna,0.0,Neutral
225,afp update pfizerbiontech covid19 vaccine began leaving companys michigan factory sunday set,0.0,Neutral
226,eng nhs workers vaccine game changer hopenews nhsheroes bbcnews vaccine covid19uk covid19,-0.4,Negative
227,update pfizerbiontech covid19 vaccine began leaving companys michigan factory sunday set inje,0.0,Neutral
228,jojofromjerz someone remind tedcruz pfizerbiontech vaccine developed us scienceovermorons,0.1,Positive
229,rival us companies ups fedex working sidebyside ship pfizerbiontech covid19 vaccine,0.0,Neutral
230,pfizerbiontech usa first shipment pfizerbiontech coronavirus vaccine leaves michigan facility,0.25,Positive
231,kuwait authorizes emergency use pfizerbiontech covid19 vaccine covid news visit,0.0,Neutral
232,approval pfizer biontech vaccine fda advisory board last minute news us food drug administra,0.0,Neutral
233,happy relieved pfizerbiontech covidvaccine amazing work mhragovuk nhsuk since,0.7000000000000001,Positive
234,vaccine pfizerbiontech oxford_astrazeneca bharatbiotech sputnikv companies submitted applicat,0.0,Neutral
235,us food drug administration fda issued yesterday first emergency use authorization pfizerbion,0.25,Positive
236,covid 19 vaccination latest update youtube youtubecreators youtubetrends,0.5,Positive
237,10 months 3 weeks since first case finally relief uncle sam vaccination starts monday,0.125,Positive
238,first trucks filled pfizer vaccine hit road pfizerbiontech,0.325,Positive
239,us says covid19 vaccine start arriving states monday via 10tampabay pfizervaccine,0.0,Neutral
240,interesting watch cnns newday live coverage loading pfizerbiontechs vaccine pfizer plant,0.3181818181818182,Positive
241,vaccines acomin covid19 coronavirus vaccine pfizerbiontech cnn msnbc,0.0,Neutral
242,global coronavirus death toll reaches 1611637 coronaviruspandemic ho orldometers pfizerbiontech,0.0,Neutral
243,two people united kingdom experienced allergic reaction pfizerbiontech covid19 vaccine rea,0.8,Positive
244,petedeveson anna_down rcgp martinrcgp skynews gps struggling provide core services amp many made di,0.5,Positive
245,first shipments pfizerbiontech covid_19 vaccine begin arriving us states monday offi,0.25,Positive
246,numbers likely get worse holidays vaccine offering bright spot fight,0.10000000000000002,Positive
247,pfizer keep good work pfizerbiontech pfizervaccine pfizerbiontech pfizerbiotech covid19 vaccine coronavirus,0.7,Positive
248,health canada warned people allergic ingredients pfizerbiontech covid19 vaccine,0.0,Neutral
249,pucking intend get vaccinated wht employer force get vaccinated like arogya set,0.0,Neutral
250,ok might late discovering pfizerbiontech moderna covid19 vaccines led,0.1,Positive
251,hours authorized fda doses pfizerbiontech coronavirus vaccine packaged,0.0,Neutral
252,fda advisors tapped review coronavirus vaccines received payments vaccine companies pray th,0.0,Neutral
253,breaking911 dumass anything pfizerbiontech vaccine bet w,0.0,Neutral
254,us states start getting pfizerbiontech covid19 vaccine monday kalingatv pfizervaccine,0.0,Neutral
255,corona pfizer vaccine approved use us emergency basis pfizervaccine us fda pfizerbiontech covid19,0.0,Neutral
256,ups fedex collaborate ship pfizerbiontech covid19 vaccines us ups fedex,0.0,Neutral
257,us president donald trump announced vaccine free americans thanked scienti,0.4,Positive
258,astrazeneca buy pharmaceutical firm alexion 39 billion covid19vaccine pfizer pfizervaccine,-0.2,Negative
260,astrazeneca buy pharmaceutical firm alexion 39 billion covid19vaccine pfizer,-0.2,Negative
261,pmjones14 pfizerbiontech created vaccine trump recommended bleach injections,0.0,Neutral
262,us public start receiving pfizerbiontech coronavirus vaccine monday authorised,0.0,Neutral
264,pfizerbiontech covid19 vaccine side effects canada warns allergic people pfizerbiontech coronavirus vac,0.0,Neutral
265,4evernevertrump tedcruz hatched canada 2 pfizerbiontech vaccine developed germany 3 scie,0.1,Positive
266,tedcruz hatched canada 2 pfizerbiontech vaccine developed germany 3 scientists behind,-0.15000000000000002,Negative
267,tedcruz stoolpresidente hatched canada 2 pfizerbiontech vaccine developed germany 3 scie,0.1,Positive
268,doses pfizerbiontech vaccine begin leaving companys factory kalamazoo michigan sunday th,0.0,Neutral
269,covid19 vaccine update initial doses pfizer coronavirus vaccine us begin tomorrow,0.0,Neutral
270,salute healthcareheroes risking life everyday taking care covid patients may god give th,-0.2,Negative
271,sj proving unproven time constraints always hardest great achievement pfizer pfizer,0.8,Positive
272,canadian guidance people allergies pfizerbiontech covidvaccine since still evolv,0.0,Neutral
273,pfizervaccine pfizerbiontech pfizer 100 transparent coronavirus vaccineswork,0.0,Neutral
274,youre wrong malaysia already preordered pfizerbiontech covid19vaccine expected 2021 plus part,-0.3,Negative
275,love high quality infographics getting across multiple ideas quickly excellent set fact,0.41500000000000004,Positive
276,pfizerbiontech covid19vaccines prepped shipment wall street journal,0.0,Neutral
277,learn victory polio good refresher polio came end lets forget,0.7,Positive
278,big pharma best interests hold stock amp patients pfizervaccine pfizerbiontech,0.5,Positive
279,tv ad 2030 receive cv19 vaccine 2020 2021 entitled financial compensation,0.0,Neutral
280,sflecce thank cpho_canada pattyhajdu justintrudeau anitaoakville getting approved prepared,0.0,Neutral
281,canada ordered enough pfizerbiontech vaccine people,0.0,Neutral
282,pfizervaccine pfizerbiontech whats vaccine pfizer 100 transparent coronavirus,0.0,Neutral
283,entire ingredients pfizervaccine see like bigmac splash superpower fi,0.0,Neutral
284,stop wearing weeks 2nd pfizerbiontech vaccine curious use test get vac,-0.05,Negative
285,pash22 caseymross guidance clear person history anaphylaxis vaccine medicine,0.10000000000000002,Positive
286,reason dont polio vaccinated virus please lets embrace covid vac,0.0,Neutral
287,say covid19 vaccines vaccine vaccination pfizervaccine covid_19 pfizerbiontech covidvaccines,0.0,Neutral
288,janey94803852 maureenprsb still seems unclear reconstitute pfizerbiontech vials site nursing home,0.0,Neutral
289,fda pfizerbiontech operationwarpspeed coronavaccine grateful covid corona fda approves pfizers cov,0.0,Neutral
290,us covid19 vaccine shipments start rolling sunday via medscape operationwarpspeed,0.0,Neutral
291,fda gives guidance allergy pregnancy concerns covid vaccine via medscape,0.0,Neutral
292,announcement comes federal authorities granted pfizer vaccine emergency use authorization read,0.0,Neutral
293,unitedstates federal aviation administration faa said saturday approved use,0.0,Neutral
294,us agency authorizes pfizerbiontech covid19 vaccine first vaccine administered,0.25,Positive
295,new podcast vaccinating way pandemic larrybrilliant peterhotez amp raysuareznews discuss,0.13636363636363635,Positive
296,eric shawn vaccine herein record time thanks ericshawntv arthelneville al,0.2,Positive
297,tedcruz facts senator would nice respect faith tell truth pfizerbiontech vaccine dev,0.6,Positive
299,vaccine pfizervaccine pfizerbiontech whats vaccine pfizer 100 transparent,0.0,Neutral
300,coming vaccine soon excited covidvaccine covid19 pfizervaccine pfizerbiontech maskup,0.375,Positive
301,beyond relieved share ill among first receive covidvaccine pfizerbiontech thank,-0.125,Negative
302,twitterpoll dyk uk bahrain canada amp usa among first nations approve pfizerbiontech,0.25,Positive
304,fascinating see messenger rna vaccine delivery approach helped enable dramatically shorter time,0.7,Positive
305,realdonaldtrump vaccine discovered developed europe turkishgerman husband wife covid19vaccine,0.1,Positive
306,tiffany dover alive tiffanydover pfizer pfizerbiontech pfizervaccine vaccinoanticovid chi_memorial,0.1,Positive
307,black woman giving alright pfizerbiontech,-0.16666666666666666,Negative
308,thats indeed sight relief saudi health minister tfrabiah showcased sample pfizerbiontech vacci,0.0,Neutral
309,manchesterhcc dr_pwright gmscnews gm_hsc gmec_scn doctormkumar mancitycouncil andyburnhamgm important day f,0.4,Positive
310,itll interesting see postvaccine birth rates next winter covid19 pfizerbiontech,0.25,Positive
311,covid vaccinated sccm hmethodistmd covid19docs vaccination pfizerbiontech coronavaccine pfizer,0.0,Neutral
312,singapore pfizerbiontech volunteer amp 16 immune suppressant takers amp pregnant portal booklet kn,0.3333333333333333,Positive
313,moderna vaccine need extra special handling requirements one pfizer includin,0.17857142857142858,Positive
314,mandated anthrax vaccine killed 35k us soldiers maimed many 2 serious adverse reactions,-0.011111111111111108,Negative
315,mrna vaccines teach cells make protein trigger immune response without using live vi,0.13636363636363635,Positive
316,vaccine special triggers immune response without using actual virus causes covid19,0.17857142857142858,Positive
317,healthcare workers receive first dosis pfizerbiontech covid19 vaccine memorial healthcare system mir,0.25,Positive
318,supplier fosun pharma making initial payment 125 mil yearend 50 million doses fmtnews,0.0,Neutral
319,vaccine rolled week several countries bringing hope scepticism vaccine,0.0,Neutral
320,excited received first part pfizerbiontech covidvaccine todayimpressive resource mobilization,0.3125,Positive
321,1000 jackson employees successfully received first dose pfizerbiontech covid19 vacci,0.5,Positive
322,something interesting learned interview b_kazaz today theres lot chatter,0.5,Positive
323,usa oklahoma oklahoma historic day govstitt hannah white registered nurse integri,0.0,Neutral
324,waiting age group get injected canada expect would happen next year lets patie,0.0,Neutral
325,turkeys death toll covid19 rises 16881 drfahrettinkoca coronavirus pfizerbiontech sinovac,0.0,Neutral
326,getting vaccinated coronavaccine pfizerbiontech vaccination mrna covid19vaccine pfizer,0.0,Neutral
327,pfizerbiontech covidvaccine effect interact persons dna dna located nucleus,0.0,Neutral
